Board,Nodes Expanded,Actions,Score
board1,84111,802,-1134.0
board2,168230,1573,-1124.0
board3,252355,2343,-1112.0
board4,336472,3114,-1108.0
board5,420595,3897,-1126.0
board6,504722,4657,-1132.0
board7,588842,5448,-1125.0
board8,672956,6231,-1116.0
board9,757075,7029,-1130.0
board10,841189,7782,-1064.0
board11,925315,8561,-1124.0
board12,1009431,9344,-1109.0
board13,1093545,10141,-1114.0
board14,1177665,10915,-1122.0
board15,1261786,11691,-1137.0
board16,1345900,12480,-1122.0
board17,1430022,13252,-1120.0
board18,1514141,14052,-1107.0
board19,1598256,14822,-1108.0
